Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID,ReadTimeStamp,Accepted
"Gramatica, P.",7004364627,Principles of QSAR models validation: Internal and external,2007,QSAR and Combinatorial Science,26,5,,694,701,,1128.0,10.1002/qsar.200610151,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250628103&partnerID=40&md5=04ced2a1a82838a10d2dbb48f35dfb1c,Short Survey,Final,,Scopus,2-s2.0-34250628103,1574369770.0,False
"Saltelli, A.",7003770842,Making best use of model evaluations to compute sensitivity indices,2002,Computer Physics Communications,145,2,,280,297,,783.0,10.1016/S0010-4655(02)00280-1,https://www.scopus.com/inward/record.url?eid=2-s2.0-0037093163&partnerID=40&md5=c0d2bfd7836d1d7a19669c2305fef1f2,Article,Final,,Scopus,2-s2.0-0037093163,1574369770.0,True
"Narayanan, S., McIlraith, S.A.",8862566000; 6602586653,"Simulation, verification and automated composition of web services",2002,"Proceedings of the 11th International Conference on World Wide Web, WWW '02",,,,77,88,,613.0,10.1145/511446.511457,https://www.scopus.com/inward/record.url?eid=2-s2.0-70349896736&partnerID=40&md5=f7c4a92a2930bd54d1ac8cf452c937c1,Conference Paper,Final,,Scopus,2-s2.0-70349896736,1574369770.0,False
"Ding, M., Bressler, S.L., Yang, W., Liang, H.",57199665712; 55403619000; 57206586779; 7402853981,"Short-window spectral analysis of cortical event-related potentials by adaptive multivariate autoregressive modeling: Data preprocessing, model validation, and variability assessment",2000,Biological Cybernetics,83,1,,35,45,,405.0,10.1007/s004229900137,https://www.scopus.com/inward/record.url?eid=2-s2.0-0034220863&partnerID=40&md5=b0db9a0d84771fbb63d60119f8c02900,Article,Final,,Scopus,2-s2.0-0034220863,1574369798.0,False
"Pelechano, N., Allbeck, J.M., Badler, N.I.",15078082200; 6507939839; 57207599359,Controlling individual agents in high-density crowd simulation,2007,"Symposium on Computer Animation 2007 - ACM SIGGRAPH / Eurographics Symposium Proceedings, SCA 2007",,,,99,108,,380.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84942821905&partnerID=40&md5=858816a211deedca3b9147083b649d03,Conference Paper,Final,,Scopus,2-s2.0-84942821905,1574369799.0,True
"Rubinstein, R.Y.",7103342667,Optimization of computer simulation models with rare events,1997,European Journal of Operational Research,99,1,,89,112,,366.0,10.1016/S0377-2217(96)00385-2,https://www.scopus.com/inward/record.url?eid=2-s2.0-0031139210&partnerID=40&md5=3154b28bbad278af0d5ae0b7bb24313a,Article,Final,,Scopus,2-s2.0-0031139210,1574369799.0,False
"Kleijnen, J.P.C.",7005646046,Verification and validation of simulation models,1995,European Journal of Operational Research,82,1,,145,162,,356.0,10.1016/0377-2217(94)00016-6,https://www.scopus.com/inward/record.url?eid=2-s2.0-0029637656&partnerID=40&md5=4720e3e2d4627cb6f4d9e95f6216b6e9,Article,Final,,Scopus,2-s2.0-0029637656,1574369800.0,True
"Sargent, R.G.",7101976202,Verification and validation of simulation models,2005,Proceedings - Winter Simulation Conference,2005,, 1574246,130,143,,350.0,10.1109/WSC.2005.1574246,https://www.scopus.com/inward/record.url?eid=2-s2.0-33846673366&partnerID=40&md5=c30449a6eeb00e0336ff8fd997f0f8b1,Conference Paper,Final,,Scopus,2-s2.0-33846673366,1574369800.0,True
"Geman, D., Jedynak, B.",57193798818; 9133301100,An active testing model for tracking roads in satellite images,1996,IEEE Transactions on Pattern Analysis and Machine Intelligence,18,1,,1,14,,337.0,10.1109/34.476006,https://www.scopus.com/inward/record.url?eid=2-s2.0-0029752066&partnerID=40&md5=aff9470330e3602aad88039785e77faa,Article,Final,,Scopus,2-s2.0-0029752066,1574369800.0,False
"Musse, S.R., Thalmann, D.",6508070752; 7005885082,Hierarchical model for real time simulation of virtual human crowds,2001,IEEE Transactions on Visualization and Computer Graphics,7,2,,152,164,,326.0,10.1109/2945.928167,https://www.scopus.com/inward/record.url?eid=2-s2.0-0035302404&partnerID=40&md5=67d86d41d6f9a175290297c2677eec5d,Article,Final,,Scopus,2-s2.0-0035302404,1574369801.0,True
